Sentence,NER,types
are there any japanese restaurants in town that do discounts for bulk orders of sushi,"{""Cuisine"": [""japanese""], ""Location"": [""in town""], ""Amenity"": [""discounts for bulk orders"", ""sushi""]}",mit_restaurant
are there any jazz clubs that serve food,"{""Amenity"": [""jazz clubs""]}",mit_restaurant
are there any kid friendly restaurants close by,"{""Amenity"": [""kid friendly""], ""Location"": [""close by""]}",mit_restaurant
are there any kid friendly restaurants with valet parking,"{""Amenity"": [""kid friendly"", ""valet parking""]}",mit_restaurant
are there any locally owned franchises that give money to charity,"{""Amenity"": [""locally owned"", ""give money to charity""]}",mit_restaurant
are there any maid cafe in town,"{""Restaurant_Name"": [""maid cafe""], ""Location"": [""in town""]}",mit_restaurant
are there any mcdonalds that i can drive too in 3 minutes,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""in 3 minutes""]}",mit_restaurant
are there any mid priced restaurants within 5 miles that offer curb side pickup,"{""Price"": [""mid""], ""Location"": [""within 5 miles""], ""Amenity"": [""offer curb side pickup""]}",mit_restaurant
are there any nationally known chefs with restaurants in this city,"{""Rating"": [""nationally known""], ""Location"": [""in this city""]}",mit_restaurant
are there any new restaurants nearby that i can try,"{""Amenity"": [""new""], ""Location"": [""nearby""]}",mit_restaurant
are there any nice taco places nearby open for breakfast,"{""Rating"": [""nice""], ""Cuisine"": [""taco""], ""Location"": [""nearby""], ""Hours"": [""open for breakfast""]}",mit_restaurant
are there any place close by that is open 24 hours,"{""Location"": [""close""], ""Hours"": [""open 24 hours""]}",mit_restaurant
are there any places around here that has tomato sauce based dishes,"{""Location"": [""around here""], ""Dish"": [""tomato sauce based dishes""]}",mit_restaurant
are there any places left that allow smoking in a restaraunt,"{""Amenity"": [""allow smoking""]}",mit_restaurant
are there any places near by that sell hamburgers and pizza,"{""Location"": [""near by""], ""Dish"": [""hamburgers"", ""pizza""]}",mit_restaurant
are there any places near by that serve lunch all day,"{""Location"": [""near by""], ""Hours"": [""lunch all day""]}",mit_restaurant
are there any places to eat in the area that offer a two for one special,"{""Location"": [""in the area""], ""Amenity"": [""two for one special""]}",mit_restaurant
are there any places with a notable beer list on white st,"{""Rating"": [""notable""], ""Amenity"": [""beer list""], ""Location"": [""white st""]}",mit_restaurant
are there any reasonably priced restaurants on east haverhill street that serve cheese,"{""Price"": [""reasonably""], ""Location"": [""east haverhill street""], ""Dish"": [""cheese""]}",mit_restaurant
are there any restaurant nearby that serve thai food,"{""Location"": [""nearby""], ""Cuisine"": [""thai""]}",mit_restaurant
are there any restaurants around with a smoking area,"{""Amenity"": [""smoking area""]}",mit_restaurant
are there any restaurants for diabetics that serve sugar free desserts,"{""Dish"": [""sugar free desserts""]}",mit_restaurant
are there any restaurants nearby that have great reviews and plenty of parking,"{""Location"": [""nearby""], ""Rating"": [""great reviews""], ""Amenity"": [""plenty of parking""]}",mit_restaurant
are there any restaurants nearby that have outdoor dining,"{""Location"": [""nearby""], ""Amenity"": [""outdoor dining""]}",mit_restaurant
are there any restaurants on kilmarnock street that feature large portions and a brewpub,"{""Location"": [""kilmarnock street""], ""Amenity"": [""large portions"", ""brewpub""]}",mit_restaurant
are there any restaurants on the way that serve hamburgers and are open after 1 am,"{""Location"": [""way""], ""Dish"": [""hamburgers""], ""Hours"": [""open after 1 am""]}",mit_restaurant
are there any restaurants on the way to my destination that have a fireplace inside,"{""Location"": [""way to my destination""], ""Amenity"": [""fireplace inside""]}",mit_restaurant
are there any restaurants on this side of the river,"{""Location"": [""this side of the river""]}",mit_restaurant
are there any restaurants open after 2 am,"{""Hours"": [""open after 2 am""]}",mit_restaurant
are there any restaurants that are open 24 hours,"{""Hours"": [""24 hours""]}",mit_restaurant
are there any restaurants that serve raw and organic food nearby,"{""Cuisine"": [""raw and organic""], ""Location"": [""nearby""]}",mit_restaurant
are there any restaurants that will let me take my dog in with me,"{""Amenity"": [""take my dog in with me""]}",mit_restaurant
are there any restaurants with happy hour in the area,"{""Amenity"": [""happy hour""], ""Location"": [""in the area""]}",mit_restaurant
are there any restaurants with valet parking and a multilingual staff near here,"{""Amenity"": [""valet parking"", ""multilingual staff""], ""Location"": [""near here""]}",mit_restaurant
are there any restaurants within 5 miles that accept travelers checks,"{""Location"": [""within 5 miles""], ""Amenity"": [""accept travelers checks""]}",mit_restaurant
are there any rib joints nearby,"{""Cuisine"": [""rib joints""], ""Location"": [""nearby""]}",mit_restaurant
are there any seafood restaurants near government center where i can make online reservations,"{""Cuisine"": [""seafood""], ""Location"": [""near government center"", ""online reservations""]}",mit_restaurant
are there any spanish restaurants that are cheap,"{""Cuisine"": [""spanish""], ""Price"": [""cheap""]}",mit_restaurant
are there any steak houses within 3 miles of me,"{""Dish"": [""steak""], ""Location"": [""within 3 miles""]}",mit_restaurant
are there any sub sandwich shops that also serve beer,"{""Cuisine"": [""sub sandwich""], ""Dish"": [""beer""]}",mit_restaurant
are there any sushi restaurants near colonel bell drive,"{""Cuisine"": [""sushi""], ""Location"": [""near colonel bell drive""]}",mit_restaurant
are there any tapas restaurants with good reviews nearby,"{""Dish"": [""tapas""], ""Rating"": [""good reviews""], ""Location"": [""nearby""]}",mit_restaurant
are there any turkish restaurants in florida,"{""Cuisine"": [""turkish""], ""Location"": [""florida""]}",mit_restaurant
are there any vegan spots that are open after 11 at night,"{""Cuisine"": [""vegan spots""], ""Hours"": [""open after 11 at night""]}",mit_restaurant
are there any vegetarian restaurants in this town,"{""Cuisine"": [""vegetarian""], ""Location"": [""in this town""]}",mit_restaurant
are there any vegetarian restaurants that allow you to order online ahead of time,"{""Cuisine"": [""vegetarian""], ""Amenity"": [""order online ahead of time""]}",mit_restaurant
are there any vietnamese restaurants nearby,"{""Cuisine"": [""vietnamese""], ""Location"": [""nearby""]}",mit_restaurant
are there are any cracker barrells on long island,"{""Restaurant_Name"": [""cracker barrells""], ""Location"": [""long island""]}",mit_restaurant
are there reservations still available for bar la grassa for 2 tomorrow at 7 pm,"{""Restaurant_Name"": [""bar la grassa""], ""Hours"": [""tomorrow at 7 pm""]}",mit_restaurant
areas that allow smoking,"{""Amenity"": [""allow smoking""]}",mit_restaurant
asian cuisine in my zip code,"{""Cuisine"": [""asian""], ""Location"": [""in my zip code""]}",mit_restaurant
at which french restaurant can i dine outdoors,"{""Cuisine"": [""french""], ""Amenity"": [""dine outdoors""]}",mit_restaurant
beer and hot wings in town,"{""Dish"": [""beer"", ""hot wings""], ""Location"": [""in town""]}",mit_restaurant
best chinese food in the area,"{""Rating"": [""best""], ""Cuisine"": [""chinese""], ""Location"": [""in the area""]}",mit_restaurant
borscht,"{""Dish"": [""borscht""]}",mit_restaurant
bradford lantern cafe directions,"{""Restaurant_Name"": [""bradford lantern cafe""]}",mit_restaurant
brasil cuisine near me,"{""Cuisine"": [""brasil""], ""Location"": [""near me""]}",mit_restaurant
burgers,"{""Dish"": [""burgers""]}",mit_restaurant
cafes on ashlannd street,"{""Cuisine"": [""cafes""], ""Location"": [""ashlannd street""]}",mit_restaurant
call cheeseboard in berkeley for me,"{""Restaurant_Name"": [""cheeseboard""], ""Location"": [""berkeley""]}",mit_restaurant
call chinese,"{""Cuisine"": [""chinese""]}",mit_restaurant
call dominos,"{""Restaurant_Name"": [""dominos""]}",mit_restaurant
call the closest korean restaurant,"{""Location"": [""closest""], ""Cuisine"": [""korean""]}",mit_restaurant
can i bring my kid to any of the restaurants down town that have bars attached,"{""Amenity"": [""my kid"", ""bars attached""], ""Location"": [""down town""]}",mit_restaurant
can i bring my pet iguana to the japanese restaurant,"{""Amenity"": [""pet""], ""Cuisine"": [""japanese""]}",mit_restaurant
can i dine at the barat a nossa casa,"{""Restaurant_Name"": [""barat a nossa casa""]}",mit_restaurant
can i find a bar and grill within short walking distance of the shopping district,"{""Cuisine"": [""bar and grill""], ""Location"": [""short walking distance of the shopping district""]}",mit_restaurant
can i find a good chinese buffet within 3 miles from me,"{""Rating"": [""good""], ""Cuisine"": [""chinese""], ""Amenity"": [""buffet""], ""Location"": [""within 3 miles""]}",mit_restaurant
can i find any restaurants close by with a meal under 8,"{""Location"": [""close by""], ""Price"": [""meal under 8""]}",mit_restaurant
can i find good portugues,"{""Rating"": [""good""], ""Cuisine"": [""portugues""]}",mit_restaurant
can i get a chefands table on north bedford street very late at night,"{""Amenity"": [""chefands table""], ""Location"": [""north bedford street""], ""Hours"": [""very late at night""]}",mit_restaurant
can i get a list of close fast food places,"{""Location"": [""close""], ""Cuisine"": [""fast food""]}",mit_restaurant
can i get gluten free pizza within 10 miles of here,"{""Dish"": [""gluten free pizza""], ""Location"": [""within 10 miles of here""]}",mit_restaurant
can i get hambers at lone star,"{""Dish"": [""hambers""], ""Restaurant_Name"": [""lone star""]}",mit_restaurant
can i get raw vegan food in honolulu,"{""Cuisine"": [""raw vegan""], ""Location"": [""honolulu""]}",mit_restaurant
can i get sushi on a prix fixe menu with reasonable prices,"{""Dish"": [""sushi""], ""Amenity"": [""prix fixe menu""], ""Price"": [""reasonable""]}",mit_restaurant
can i have the phone number for kfc in los angeles ca,"{""Restaurant_Name"": [""kfc""], ""Location"": [""los angeles ca""]}",mit_restaurant
can i see hamburger restaurants nearby,"{""Dish"": [""hamburger""], ""Location"": [""nearby""]}",mit_restaurant
can i valet park at the blue coyote grill,"{""Amenity"": [""valet park""], ""Restaurant_Name"": [""blue coyote grill""]}",mit_restaurant
can i wear shorts,"{""Amenity"": [""wear shorts""]}",mit_restaurant
can you find a bar that serves tapas and takes reservations for happy hour,"{""Amenity"": [""bar"", ""reservations"", ""happy hour""], ""Dish"": [""tapas""]}",mit_restaurant
can you find a burger joint with a smoking section,"{""Cuisine"": [""burger joint""], ""Amenity"": [""smoking section""]}",mit_restaurant
can you find a cheap vietnamese restaurant,"{""Price"": [""cheap""], ""Cuisine"": [""vietnamese""]}",mit_restaurant
can you find a fast food restaurant,"{""Cuisine"": [""fast food""]}",mit_restaurant
can you find a highly rated long john silvers open this late,"{""Rating"": [""highly rated""], ""Restaurant_Name"": [""long john silvers""], ""Hours"": [""open this late""]}",mit_restaurant
can you find a middle eastern place with great prices,"{""Cuisine"": [""middle eastern""], ""Price"": [""great""]}",mit_restaurant
can you find a pizza place with a buffet within 15 miles,"{""Cuisine"": [""pizza""], ""Amenity"": [""buffet""], ""Location"": [""within 15 miles""]}",mit_restaurant
can you find a pub downtown,"{""Cuisine"": [""pub""], ""Location"": [""downtown""]}",mit_restaurant
can you find a restaurant that serves bean soup in the morning and isnt too expensive,"{""Dish"": [""bean soup""], ""Hours"": [""morning""], ""Price"": [""isnt too expensive""]}",mit_restaurant
can you find a restaurant that serves duck that not cheap near here,"{""Dish"": [""duck""], ""Price"": [""not cheap""], ""Location"": [""near""]}",mit_restaurant
can you find a restaurant under 20 per dish,"{""Price"": [""under 20 per dish""]}",mit_restaurant
can you find a seafood restaurant,"{""Cuisine"": [""seafood""]}",mit_restaurant
can you find a site where i can see reviews on restaurant downtown,"{""Location"": [""downtown""]}",mit_restaurant
can you find a steak house that serves wine,"{""Cuisine"": [""steak house""], ""Dish"": [""wine""]}",mit_restaurant
can you find a thai japanese fusion restaurant in town,"{""Cuisine"": [""thai japanese fusion""], ""Location"": [""in town""]}",mit_restaurant
can you find an italian restaurant nearby,"{""Cuisine"": [""italian""], ""Location"": [""nearby""]}",mit_restaurant
can you find an italian restaurant that serves brunch on sunday,"{""Cuisine"": [""italian""], ""Hours"": [""brunch"", ""sunday""]}",mit_restaurant
can you find an italian restaurant where i can wear casual atire,"{""Cuisine"": [""italian""], ""Amenity"": [""casual atire""]}",mit_restaurant
can you find east dedham pizzeria that have a dine at bar location,"{""Restaurant_Name"": [""east""], ""Location"": [""dedham""], ""Cuisine"": [""pizzeria""]}",mit_restaurant
can you find latin american cuisine within a hotel along the way,"{""Cuisine"": [""latin american""], ""Location"": [""within a hotel along the way""]}",mit_restaurant
can you find me a burmese restaurant with a parking spot,"{""Cuisine"": [""burmese""], ""Amenity"": [""parking spot""]}",mit_restaurant
can you find me a fredas thats not too busy,"{""Restaurant_Name"": [""fredas""], ""Amenity"": [""not too busy""]}",mit_restaurant
can you find me a good place to eat chowder,"{""Rating"": [""good""], ""Dish"": [""chowder""]}",mit_restaurant
can you find me a kid friendly seafood restaurant,"{""Amenity"": [""kid friendly""], ""Cuisine"": [""seafood""]}",mit_restaurant
can you find me a kid friendly sushi restaurant,"{""Amenity"": [""kid friendly""], ""Cuisine"": [""sushi""]}",mit_restaurant
can you find me a moderately priced italian restaurant,"{""Price"": [""moderately""], ""Cuisine"": [""italian""]}",mit_restaurant
can you find me a nice italian restaurant that takes reservations,"{""Rating"": [""nice""], ""Cuisine"": [""italian""], ""Amenity"": [""reservations""]}",mit_restaurant
can you find me a not cheap lunch spot that serves pasteur,"{""Price"": [""not cheap""], ""Hours"": [""lunch""], ""Dish"": [""pasteur""]}",mit_restaurant
can you find me a pizza place,"{""Dish"": [""pizza""]}",mit_restaurant
can you find me a pizzeria that delivers after midnight,"{""Cuisine"": [""pizzeria""], ""Amenity"": [""delivers""], ""Hours"": [""after midnight""]}",mit_restaurant
can you find me a place nearby thats open after 12 pm with bean dishes,"{""Location"": [""nearby""], ""Hours"": [""after 12 pm""], ""Dish"": [""bean dishes""]}",mit_restaurant
can you find me a place that serves french fries,"{""Dish"": [""french fries""]}",mit_restaurant
can you find me a restaurant that has a bar in it,"{""Amenity"": [""bar in it""]}",mit_restaurant
can you find me a restaurant that has entrees priced between 15 and 20 dollars,"{""Price"": [""between 15 and 20 dollars""]}",mit_restaurant
can you find me a thai restaurant that is caual,"{""Cuisine"": [""thai""], ""Amenity"": [""caual""]}",mit_restaurant
can you find me chinese restaurant with a smoking section,"{""Cuisine"": [""chinese""], ""Amenity"": [""smoking section""]}",mit_restaurant
can you find me hotel dining with comfort food,"{""Restaurant_Name"": [""hotel dining""], ""Cuisine"": [""comfort food""]}",mit_restaurant
can you find me some malaysian food late at night,"{""Cuisine"": [""malaysian""], ""Hours"": [""late at night""]}",mit_restaurant
can you find me some take out ribs,"{""Amenity"": [""take out""], ""Dish"": [""ribs""]}",mit_restaurant
can you find out if the best little restaurant has dancing and a good looking atmosphere,"{""Restaurant_Name"": [""best little restaurant""], ""Amenity"": [""dancing"", ""good looking atmosphere""]}",mit_restaurant
can you find starting gate restaurant thats hard to find with a huge price,"{""Restaurant_Name"": [""starting gate restaurant""], ""Price"": [""huge""]}",mit_restaurant
can you find the closest ihop,"{""Location"": [""closest""], ""Restaurant_Name"": [""ihop""]}",mit_restaurant
can you find the nearest health food store and bar,"{""Location"": [""nearest""], ""Cuisine"": [""health food store"", ""bar""]}",mit_restaurant
can you find the waterfront restaurant albertos deli of course thats open until 11 pm,"{""Location"": [""waterfront""], ""Restaurant_Name"": [""albertos deli""], ""Hours"": [""open until 11 pm""]}",mit_restaurant
can you find us an ice cream shop near haight street,"{""Cuisine"": [""ice cream""], ""Location"": [""near haight street""]}",mit_restaurant
can you get me a list of chinese food places in great neck ny,"{""Cuisine"": [""chinese""], ""Location"": [""great neck ny""]}",mit_restaurant
can you get pork in chinatown,"{""Dish"": [""pork""], ""Location"": [""chinatown""]}",mit_restaurant
can you give me the name of the restaurant on green st,"{""Restaurant_Name"": [""name""], ""Location"": [""green st""]}",mit_restaurant
can you give me the phone number for the nearest mexican restaurant that is both affordable and has good quality food,"{""Location"": [""nearest""], ""Cuisine"": [""mexican""], ""Price"": [""affordable""], ""Rating"": [""good quality""]}",mit_restaurant
can you help me find a fancy restaurant with 5 star ratings,"{""Amenity"": [""fancy""], ""Rating"": [""5 star ratings""]}",mit_restaurant
can you help me find a high end restaurant where i can have lunch,"{""Price"": [""high end""], ""Amenity"": [""lunch""]}",mit_restaurant
can you help me find a korean restaurant that is close by,"{""Cuisine"": [""korean""], ""Location"": [""close by""]}",mit_restaurant
can you help me find a reasonably priced harvard chinese restaurant that lets you byob,"{""Price"": [""reasonably""], ""Location"": [""harvard""], ""Cuisine"": [""chinese""], ""Amenity"": [""byob""]}",mit_restaurant
can you help me find a restaurant that has fast service and is open before 11 am,"{""Amenity"": [""fast service""], ""Hours"": [""open before 11 am""]}",mit_restaurant
can you help me find a tong villa that serves small portions,"{""Restaurant_Name"": [""tong villa""], ""Amenity"": [""small portions""]}",mit_restaurant
can you help me find inexpensive dining within a five mile radius of my current location,"{""Price"": [""inexpensive""], ""Location"": [""within a five mile radius""]}",mit_restaurant
can you help me get to a restaurant where i can get lunch for under 10,"{""Hours"": [""lunch""], ""Price"": [""under 10""]}",mit_restaurant
can you locate a 4 star or higher restaurant that serves italian food,"{""Rating"": [""4 star or higher""], ""Cuisine"": [""italian""]}",mit_restaurant
can you locate a chinese buffet for under 12 within a five minute drive,"{""Cuisine"": [""chinese""], ""Amenity"": [""buffet""], ""Price"": [""under 12""], ""Location"": [""within a five minute drive""]}",mit_restaurant
can you locate a diner that has a smoking section in this area,"{""Cuisine"": [""diner""], ""Amenity"": [""smoking section""], ""Location"": [""this area""]}",mit_restaurant
can you locate a restaurant that sell burgers after 12 00 am,"{""Dish"": [""burgers""], ""Hours"": [""12 00 am""]}",mit_restaurant
can you locate the business hours for a restaurant that serves brunch,"{""Hours"": [""brunch""]}",mit_restaurant
can you make a reservation at pf changs for tonight,"{""Restaurant_Name"": [""pf changs""], ""Hours"": [""tonight""]}",mit_restaurant
can you make me a reservation at the cheapest restaurant with valet parking,"{""Amenity"": [""reservation"", ""valet parking""], ""Price"": [""cheapest""]}",mit_restaurant
can you make me a reservation at the most expensive restaurant within 15 miles,"{""Price"": [""most expensive""], ""Location"": [""within 15 miles""]}",mit_restaurant
can you make me a reservation for 4 at the nearest upscale steakhouse,"{""Location"": [""nearest""], ""Price"": [""upscale""], ""Cuisine"": [""steakhouse""]}",mit_restaurant
can you make me a reservation for todai for thursday for two people,"{""Cuisine"": [""reservation"", ""todai""], ""Restaurant_Name"": [""thursday""]}",mit_restaurant
can you make reservations for two at heartland restaurant for tonight at 7 30,"{""Restaurant_Name"": [""heartland restaurant""], ""Hours"": [""tonight at 7 30""]}",mit_restaurant
can you order me a pizza,"{""Dish"": [""pizza""]}",mit_restaurant
can you please direct me to the nearest chinese restaurant,"{""Location"": [""nearest""], ""Cuisine"": [""chinese""]}",mit_restaurant
can you please find the olive garden restaurant in manhattan,"{""Restaurant_Name"": [""olive garden""], ""Location"": [""in manhattan""]}",mit_restaurant
can you search for the most expensive restaurant,"{""Price"": [""most expensive""]}",mit_restaurant
can you take me to a pizza place,"{""Cuisine"": [""pizza""]}",mit_restaurant
can you take me to roosevelts restaurant and sin in framingham,"{""Restaurant_Name"": [""roosevelts restaurant and sin""], ""Location"": [""framingham""]}",mit_restaurant
can you tell me what italian restaurants north of heat rd in fairfax,"{""Cuisine"": [""italian""], ""Location"": [""north of heat rd in fairfax""]}",mit_restaurant
can you tell me where an affordable burmese place is,"{""Price"": [""affordable""], ""Cuisine"": [""burmese""]}",mit_restaurant
can you tell me where the closest taco bell is,"{""Location"": [""closest""], ""Restaurant_Name"": [""taco bell""]}",mit_restaurant
can you tell me where the nearest sushi restaurant is,"{""Location"": [""nearest""], ""Cuisine"": [""sushi""]}",mit_restaurant
can you tell me where the nearest wendys is,"{""Location"": [""nearest""], ""Restaurant_Name"": [""wendys""]}",mit_restaurant
can you tell me where to get some cheap vegetarian food,"{""Price"": [""cheap""], ""Cuisine"": [""vegetarian""]}",mit_restaurant
car look for upscale restaurants downtown and make reservations at the best reviewed,"{""Price"": [""upscale""], ""Location"": [""downtown""], ""Rating"": [""best reviewed""]}",mit_restaurant
cheap place close to home,"{""Price"": [""cheap""], ""Location"": [""close to home""]}",mit_restaurant
chinese food sounds good help me out with a good place,"{""Cuisine"": [""chinese""], ""Rating"": [""good""]}",mit_restaurant
closest sushi bar in town,"{""Location"": [""closest""], ""Cuisine"": [""sushi""], ""Amenity"": [""bar""]}",mit_restaurant
cocktails and dancing,"{""Dish"": [""cocktails""], ""Amenity"": [""dancing""]}",mit_restaurant
could you find a restaurant which plays live music,"{""Amenity"": [""plays live music""]}",mit_restaurant
could you find me a place thats open every day,"{""Hours"": [""open every day""]}",mit_restaurant
could you find me some restaurants located along the way to the airport that are open late,"{""Location"": [""along the way to the airport""], ""Hours"": [""open late""]}",mit_restaurant
could you help me locate a place for lunch,"{""Hours"": [""lunch""]}",mit_restaurant
could you locate an italian restaurant around four miles away with pesto pasta,"{""Cuisine"": [""italian""], ""Location"": [""four miles away""], ""Dish"": [""pesto pasta""]}",mit_restaurant
could you locate the closest seafood restaurant,"{""Location"": [""closest""], ""Cuisine"": [""seafood""]}",mit_restaurant
could you make a reservation for me at a nice italian restaurant,"{""Rating"": [""nice""], ""Cuisine"": [""italian""]}",mit_restaurant
create directions to closest chinese restaurtant,"{""Location"": [""closest""], ""Cuisine"": [""chinese""]}",mit_restaurant
danny cooks home made dinners,"{""Restaurant_Name"": [""danny cooks""], ""Amenity"": [""home made""], ""Hours"": [""dinners""]}",mit_restaurant
diner,"{""Cuisine"": [""diner""]}",mit_restaurant
diner locations,"{""Cuisine"": [""diner""]}",mit_restaurant
dining along the waterfront restaurant is located on sutton street,"{""Cuisine"": [""dining""], ""Amenity"": [""along the""], ""Restaurant_Name"": [""waterfront""], ""Location"": [""sutton street""]}",mit_restaurant
direct me to a donut shop please,"{""Cuisine"": [""donut""]}",mit_restaurant
direct me to the nearest indian restaurant,"{""Location"": [""nearest""], ""Cuisine"": [""indian""]}",mit_restaurant
direct me to the nearest mcdonalds,"{""Location"": [""direct me"", ""nearest""], ""Restaurant_Name"": [""mcdonalds""]}",mit_restaurant
